RELEASE_YEAR,PROD_COMPANY_NAME,BUDGET,REVENUE,PROFIT,POPULARITY,N_ANIMATION,N_COMEDY,N_FAMILY,N_ADVENTURE,N_FANTASY,N_DRAMA,N_ROMANCE,N_ACTION,N_CRIME,N_THRILLER,N_HISTORY,N_SCIENCE_FICTION,N_MYSTERY,N_HORROR,N_WAR,N_FOREIGN,N_DOCUMENTARY,N_WESTERN,N_MUSIC,N_TV_MOVIE
1946,Liberty Films (II),9540000,28932372,19392372,15.031588,0,0,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1946,RKO Radio Pictures,15540000,102326598,86786598,12.583349499999999,0,0,1,0,1,2,1,0,0,1,0,0,0,0,0,0,0,0,0,0
1946,"Samuel Goldwyn Company, The",6300000,70950000,64650000,6.069343,0,0,0,0,0,1,1,0,0,0,1,0,0,0,0,0,0,0,0,0
1946,The Selznik Studio,6000000,20400000,14400000,8.441279,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
1946,Vanguard Films,6000000,20400000,14400000,8.441279,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
1947,Twentieth Century Fox Film Corporation,4000000,15600000,11600000,6.857318,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0
1948,Argosy Pictures,3729000,8523000,4794000,3.8032680000000005,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,1,0,0
1948,Charles K. Feldman Group,3000000,9012000,6012000,6.09018,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
1948,Gainsborough Pictures,3920850,4171660,250810,0.578456,0,1,0,0,1,1,1,0,0,0,0,1,0,0,0,0,0,0,0,0
1948,Metro-Goldwyn-Mayer (MGM),17129000,23235000,6106000,4.896096000000002,0,0,0,0,0,2,1,1,1,1,0,0,1,0,0,0,0,1,1,0
1948,Monterey Productions,3000000,9012000,6012000,6.09018,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
