RELEASE_YEAR,GENRE,BUDGET,REVENUE,PROFIT,POPULARITY
1966,War,12800000,20921548,8121548,22.67642
1966,Western,5853000,12000000,6147000,23.859455999999998
1967,Action,35620000,249829505,214209505,54.017019999999995
1967,Adventure,48900000,413473117,364573117,66.04196200000001
1967,Animation,4000000,205843612,201843612,22.845448
1967,Comedy,37500000,109411385,71911385,27.157895999999997
1967,Crime,17500000,121505302,104005302,51.049122
1967,Drama,31720000,370117274,338397274,73.76184099999999
1967,Family,22000000,214843612,192843612,26.741767000000003
1967,Fantasy,18000000,9000000,-9000000,3.896319
1967,Horror,4000000,11000000,7000000,6.216637
1967,Music,23000000,59000000,36000000,6.370717
1967,Mystery,2000000,27379978,25379978,9.059617
1967,Romance,30500000,117666667,87166667,16.331775
1967,Thriller,18000000,153164765,135164765,30.988087999999998
1967,War,5400000,45300000,39900000,15.640007
1967,Western,5860000,12000000,6140000,8.019495
1968,Action,19000000,96696299,77696299,36.893115
1968,Adventure,24000000,123095426,99095426,52.368007000000006
1968,Comedy,14076000,58223306,44147306,5.962191
1968,Crime,6247000,42345439,36098439,9.795132
1968,Drama,69293000,251577140,182284140,78.268881
1968,Family,10000000,37402877,27402877,8.630078
1968,History,7700000,21000000,13300000,12.088407
1968,Horror,3314000,63395426,60081426,25.888756
1968,Music,38320000,103626183,65306183,13.867421
1968,Mystery,14447000,102139992,87692992,36.774581999999995
1968,Romance,30093000,73082538,42989538,11.849148999999999
1968,Science Fiction,26250000,105410092,79160092,57.109964
1968,Thriller,6247000,42345439,36098439,9.795132
1968,War,14700000,32000000,17300000,21.480387999999998
1968,Western,8255000,14741508,6486508,29.085601
1969,Action,30500000,119653271,89153271,25.763043
1969,Adventure,12744087,82613134,69869047,21.078688
1969,Comedy,54000000,114886877,60886877,21.408099
1969,Crime,10000000,104058889,94058889,7.2058040000000005
1969,Drama,43600000,234772720,191172720,36.053051999999994
1969,Family,24000000,33208099,9208099,8.407519
1969,History,6000000,102308889,96308889,6.714577
1969,Music,52000000,84886877,32886877,19.593769
1969,Mystery,4000000,6000000,2000000,5.757907
1969,Romance,36000000,54958099,18958099,9.436124000000001
1969,Thriller,10500000,87974493,77474493,15.114170999999999
1969,Western,32244087,134626308,102382221,29.085873000000003
1970,Action,64201946,138089442,73887496,20.913923
1970,Adventure,61485000,142482818,80997818,50.15570399999999
1970,Animation,4000000,55675257,51675257,9.834047
1970,Comedy,50306946,216886927,166579981,41.354245999999996
1970,Crime,10000000,1500000,-8500000,4.127728
1970,Documentary,600000,34505110,33905110,3.624542
1970,Drama,121381000,531320366,409939366,64.19891199999999
1970,Family,4000000,55675257,51675257,9.834047
1970,History,89085000,190664953,101579953,38.96935499999999
1970,Music,600000,34505110,33905110,3.624542
1970,Mystery,13000000,20499718,7499718,16.453675
1970,Romance,19200000,138900000,119700000,16.514087
1970,Science Fiction,3000000,18999718,15999718,12.325947
1970,Thriller,22090000,141989151,119899151,15.130689
1970,War,62985000,231059961,168074961,42.749531
1970,Western,18716946,36559552,17842606,10.724949
1971,Action,20950000,305091133,284141133,51.431492
1971,Adventure,31200000,146041165,114841165,26.103802
1971,Animation,20000000,17900000,-2100000,10.362012
1971,Comedy,22000000,29733696,7733696,14.693831
1971,Crime,12725000,103108169,90383169,33.140657999999995
1971,Drama,24552000,249311430,224759430,60.185016000000005
1971,Family,23000000,21900000,-1100000,22.778647
1971,Fantasy,23000000,21900000,-1100000,22.778647
1971,Music,20000000,17900000,-2100000,10.362012
1971,Mystery,2977000,5688794,2711794,14.784748
1971,Romance,9875000,109104330,99229330,16.483233000000002
1971,Science Fiction,11977000,53751468,41774468,48.466199
1971,Thriller,27725000,303770585,276045585,61.410834
1972,Action,18160254,255595115,237434861,48.289711999999994
1972,Adventure,14978000,148185473,133207473,22.768950999999998
1972,Comedy,2012000,24016290,22004290,11.117352
1972,Crime,15382254,417498508,402116254,74.84849700000001
1972,Drama,19260000,369432866,350172866,73.129344
1972,Horror,112000,28000000,27888000,7.261623999999999
1972,Mystery,5578000,44600000,39022000,7.599995
1972,Romance,1250000,36144000,34894000,12.74564
1972,Science Fiction,1700000,9700000,8000000,12.843375
1972,Thriller,8852254,117554352,108702098,23.830661
1972,Western,6000000,7500000,1500000,3.189566
1973,Action,12692000,264080431,251388431,41.536815
1973,Adventure,9142000,163235836,154093836,11.19849
1973,Animation,15950000,33556467,17606467,12.000766
1973,Comedy,9227000,319461056,310234056,28.075219999999998
1973,Crime,24992000,339141327,314149327,68.888101
1973,Drama,31727000,830489472,798762472,78.92271199999999
1973,Family,15000000,32056467,17056467,11.179855
1973,History,3000000,29800000,26800000,12.842165
1973,Horror,8000000,441306145,433306145,12.137595
1973,Mystery,2142000,1458000,-684000,1.424722
1973,Romance,2000000,18344729,16344729,6.048904
1973,Science Fiction,3700000,27189324,23489324,17.693668000000002
1973,Thriller,17992000,694541981,676549981,34.023842
1973,Western,10138783,26700000,16561217,15.692105999999999
1974,Action,34000000,362238653,328238653,47.70285200000001
1974,Adventure,10000000,144572000,134572000,20.607993
1974,Comedy,8300000,248781408,240481408,32.033421000000004
1974,Crime,29500000,159770916,130270916,89.103017
1974,Drama,46160000,316970769,270810769,111.335451
1974,Horror,85000,30859000,30774000,15.526413
1974,Mystery,7600000,34420000,26820000,25.537908
1974,Romance,6500000,26533200,20033200,5.702638
1974,Science Fiction,2800000,86273333,83473333,9.339316
1974,Thriller,40000000,392238653,352238653,59.99512200000001
1974,Western,2600000,119500000,116900000,13.233262
1975,Action,1370000,35800000,34430000,9.777912
1975,Adventure,8400000,491682948,483282948,32.461187
1975,Comedy,16035700,201442956,185407256,39.856496
1975,Crime,10340000,104299203,93959203,22.988521
1975,Drama,24535700,217113256,192577556,71.456075
1975,Family,65700,214600,148900,0.96053
1975,Fantasy,400000,5028948,4628948,10.43389
1975,History,3000000,20173742,17173742,5.165666
1975,Horror,8200000,583546319,575346319,28.425542
1975,Music,12200000,148643844,136443844,15.654318
1975,Mystery,7500000,43833347,36333347,10.377019
1975,Romance,17000000,21500000,4500000,14.622543
1975,Science Fiction,1500000,120892319,119392319,14.764326
1975,Thriller,12300000,535319856,523019856,33.433265
1975,War,11000000,20000000,9000000,14.003467
1976,Action,18780000,72736000,53956000,16.489072999999998
1976,Adventure,32000000,115614445,83614445,12.652989999999999
1976,Comedy,54564200,153688522,99124322,30.445056
1976,Crime,19245000,135777638,116532638,37.225367
1976,Drama,52745000,550356808,497611808,73.501863
1976,Family,35000000,35323292,323292,8.399441
1976,History,8500000,70600000,62100000,12.421754
1976,Horror,4600000,94722980,90122980,25.918968999999997
1976,Music,6000000,161000000,155000000,2.447359
1976,Mystery,14500000,104433201,89933201,18.008674
1976,Romance,21500000,237079064,215579064,17.543841999999998
1976,Science Fiction,9000000,25000000,16000000,6.842274
1976,Thriller,37100000,292247064,255147064,64.997653
1976,Western,3700000,31800000,28100000,5.849522
1977,Action,79000000,1053971338,974971338,87.402442
1977,Adventure,80700000,1113490403,1032790403,97.590989
1977,Animation,2400000,80215869,77815869,14.239158
1977,Comedy,7400000,69314463,61914463,23.247196
1977,Crime,5500000,26414658,20914658,6.389326
1977,Drama,67820000,709293756,641473756,82.14064399999998
1977,Family,4700000,87215869,82515869,14.827075
1977,Fantasy,19910000,133965011,114055011,33.879798
1977,History,22000000,50750000,28750000,7.719173
1977,Horror,21490000,97466996,75976996,30.013975
1977,Music,6900000,268176222,261276222,18.758357
1977,Mystery,810000,1258000,448000,3.099222
1977,Romance,4000000,38251425,34251425,18.146043
1977,Science Fiction,53960000,1139906642,1085946642,73.100776
1977,Thriller,63060000,288860473,225800473,51.848768
1977,War,22000000,50750000,28750000,7.719173
1978,Action,79800016,375031550,295231534,48.260144000000004
1978,Adventure,89000005,362682344,273682339,45.020092999999996
1978,Animation,5000000,34185188,29185188,13.516921
1978,Comedy,17215123,187765185,170550062,22.462515
1978,Crime,2300000,35000000,32700000,7.186048
1978,Drama,51915129,227194276,175279147,58.913380000000004
1978,Family,24000000,21049053,-2950947,4.233081
1978,Fantasy,83000000,351738491,268738491,27.607977999999996
1978,Horror,43750000,407448895,363698895,75.132586
1978,Music,24000000,21049053,-2950947,4.233081
1978,Mystery,18420000,58606617,40186617,20.087632
1978,Romance,8515123,205813874,197298751,17.866294
1978,Science Fiction,64000000,348264551,284264551,32.523772
1978,Thriller,49100000,377978895,328878895,63.202991999999995
1978,War,20000000,57230000,37230000,12.779914999999999
1979,Action,127400000,556543270,429143270,78.985823
1979,Adventure,105100000,583639682,478539682,62.805589999999995
1979,Comedy,62000000,134361708,72361708,36.838679
1979,Crime,12000000,65490039,53490039,23.294964999999998
1979,Drama,110550000,614563077,504013077,94.904398
1979,Family,22700000,73641544,50941544,17.74552
1979,History,17500000,23438120,5938120,11.157288
1979,Horror,23300000,170920270,147620270,33.565931
1979,Music,9250000,29174648,19924648,2.132964
1979,Mystery,35000000,139000000,104000000,8.277765
1979,Romance,27350000,53421768,26071768,20.455331
1979,Science Fiction,112700000,656070270,543370270,71.33197600000001
1979,Thriller,69300000,502463994,433163994,64.959155
1979,War,34000000,104475055,70475055,16.680726
1979,Western,9200000,9346177,146177,7.085212
1980,Action,176000000,923052236,747052236,64.463946
1980,Adventure,110500000,808131925,697631925,44.46118
1980,Comedy,81500000,352155222,270655222,62.083608999999996
1980,Crime,53000000,167359367,114359367,26.270397
1980,Drama,148000000,255217543,107217543,75.464843
1980,Fantasy,89000000,232784193,143784193,24.687467
1980,History,59000000,45290384,-13709616,16.356856
